STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ODISHA,2005,1079,1279,48,799,641,184,50,998,3029,6743,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,51685
PUNJAB,2005,713,723,216,398,478,27,103,85,1933,2924,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,27136
RAJASTHAN,2005,1221,1920,59,993,1993,41,79,590,5227,17898,2290,613,8341,88,648,22606,361,2503,28,5997,0,5872,61549,140917
SIKKIM,2005,8,16,2,18,3,2,0,4,85,81,19,4,44,2,3,99,0,38,0,4,0,53,67,552
TAMIL NADU,2005,1440,1759,28,571,1029,73,0,437,3738,15851,2551,239,2694,40,495,31725,215,1764,665,1650,0,8902,86494,162360
TRIPURA,2005,121,56,1,162,85,22,0,61,170,325,148,32,59,16,35,429,34,161,1,439,0,188,811,3356
UTTAR PRADESH,2005,5711,5637,1520,1217,2955,286,89,2049,4556,20695,3926,2524,4556,261,398,10379,1564,1835,2881,4505,0,7406,37158,122108
UTTARAKHAND,2005,279,202,30,133,203,48,0,159,521,1630,433,144,396,22,24,745,63,100,89,272,0,462,2078,8033
WEST BENGAL,2005,1453,434,408,1686,1207,211,1221,426,739,12124,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,66406
A & N ISLANDS,2005,14,3,3,4,2,0,0,4,68,92,4,8,13,0,6,79,0,11,1,5,0,3,362,682
CHANDIGARH,2005,18,15,4,33,54,0,2,12,223,1373,43,41,161,0,1,57,3,31,9,75,0,9,969,3133
D & N HAVELI,2005,7,5,0,5,13,3,0,2,25,74,18,12,10,4,1,33,0,5,0,5,0,17,195,434
DAMAN & DIU,2005,5,2,0,2,4,4,0,0,37,50,19,6,3,7,1,16,1,1,0,3,0,24,58,243
LAKSHADWEEP,2005,1,0,0,0,0,0,0,0,2,7,6,0,0,0,0,4,0,0,0,0,0,0,22,42
PUDUCHERRY,2005,19,24,8,6,6,1,0,5,67,466,159,8,41,0,9,857,4,60,26,6,0,224,2579,4575
ANDHRA PRADESH,2006,2766,1860,123,1049,2030,178,3,679,8304,23510,2916,1007,8363,324,1012,47946,519,4534,2411,9164,0,11489,43722,173909
ARUNACHAL PRADESH,2006,60,33,3,37,75,28,0,74,257,451,6,61,38,9,20,415,1,63,2,14,0,82,565,2294
ASSAM,2006,1207,414,32,1244,1825,319,12,544,2911,7820,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673
BIHAR,2006,3249,3303,326,1232,2619,1001,140,2169,3531,11752,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,100665
CHHATTISGARH,2006,1098,825,15,995,239,160,24,439,3507,5262,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177
GOA,2006,39,17,1,21,16,7,0,17,252,494,63,35,55,9,38,170,0,18,7,14,0,233,698,2204
GUJARAT,2006,1165,471,24,354,1128,290,12,970,5530,18475,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972
